comm_name_orig,sci_name_orig,level,sci_name,comm_name,type,class,order,family,genus
Cabrilla pinta,Mycteroperca prionura,species,Mycteroperca prionura,Sawtail grouper,fish,Actinopterygii,Perciformes,Serranidae,Mycteroperca
Cabrilla rosa,Mycteroperca rosacea,species,Mycteroperca rosacea,Leopard grouper,fish,Actinopterygii,Perciformes,Serranidae,Mycteroperca
Cabrilla,Mycteroperca sp,group,Mycteroperca sp,NA,NA,NA,NA,NA,NA
Abadejo,Mycteroperca sp,group,Mycteroperca sp,NA,NA,NA,NA,NA,NA
Aguaji,Mycteroperca sp,group,Mycteroperca sp,NA,NA,NA,NA,NA,NA
Garropa,Mycteroperca xenarcha,species,Mycteroperca xenarcha,Broomtail grouper,fish,Actinopterygii,Perciformes,Serranidae,Mycteroperca
Pargo blanco,Mycteroperca xenarcha,species,Mycteroperca xenarcha,Broomtail grouper,fish,Actinopterygii,Perciformes,Serranidae,Mycteroperca
Soldadito,Myripristis leiognathus,species,Myripristis leiognathus,Panamic soldierfish,fish,Actinopterygii,Beryciformes,Holocentridae,Myripristis
Mejillon,Mytilus sp,group,Mytilus sp,NA,NA,NA,NA,NA,NA
Choro,Mytlilus californianus,species,Mytilus californianus,California mussel,invert,Bivalvia,Mytiloida,Mytilidae,Mytilus
Tiburon coyote,Nasolamia velox,species,Nasolamia velox,Whitenose shark,fish,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Nasolamia
Pescado blanco,ND,group,ND,NA,NA,NA,NA,NA,NA
Otras,ND,group,ND,NA,NA,NA,NA,NA,NA
Ballusa,ND,group,ND,NA,NA,NA,NA,NA,NA
Fauna de acompanamiento,ND,group,ND,NA,NA,NA,NA,NA,NA
Menudo,ND,group,ND,NA,NA,NA,NA,NA,NA
Puro,ND,group,ND,NA,NA,NA,NA,NA,NA
Acumara,ND,group,ND,NA,NA,NA,NA,NA,NA
Frel,ND,group,ND,NA,NA,NA,NA,NA,NA
Blanquita,ND,group,ND,NA,NA,NA,NA,NA,NA
Chatarra,ND,group,ND,NA,NA,NA,NA,NA,NA
Pelona,ND,group,ND,NA,NA,NA,NA,NA,NA
Alga,ND,group,ND,NA,NA,NA,NA,NA,NA
Especies de ornato,ND,group,ND,NA,NA,NA,NA,NA,NA
Pulga acuatica,ND,group,ND,NA,NA,NA,NA,NA,NA
Jolote,ND,group,ND,NA,NA,NA,NA,NA,NA
No asignada,ND,group,ND,NA,NA,NA,NA,NA,NA
Tiriri,ND,group,ND,NA,NA,NA,NA,NA,NA
Pez mar,ND,group,ND,NA,NA,NA,NA,NA,NA
Petillo,ND,group,ND,NA,NA,NA,NA,NA,NA
Barrasa,ND,group,ND,NA,NA,NA,NA,NA,NA
Bacin,ND,group,ND,NA,NA,NA,NA,NA,NA
Postha,ND,group,ND,NA,NA,NA,NA,NA,NA
Mosco,ND,group,ND,NA,NA,NA,NA,NA,NA
Naca,ND,group,ND,NA,NA,NA,NA,NA,NA
Chencay,ND,group,ND,NA,NA,NA,NA,NA,NA
Maula,ND,group,ND,NA,NA,NA,NA,NA,NA
Pistola,ND,group,ND,NA,NA,NA,NA,NA,NA
Juez,ND,group,ND,NA,NA,NA,NA,NA,NA
Chepe,ND,group,ND,NA,NA,NA,NA,NA,NA
Chihua,ND,group,ND,NA,NA,NA,NA,NA,NA
Cacumo,ND,group,ND,NA,NA,NA,NA,NA,NA
Arrayado,ND,group,ND,NA,NA,NA,NA,NA,NA
Tomate,ND,group,ND,NA,NA,NA,NA,NA,NA
Juile,ND,group,ND,NA,NA,NA,NA,NA,NA
Orihuelos,ND,group,ND,NA,NA,NA,NA,NA,NA
Bacinico,ND,group,ND,NA,NA,NA,NA,NA,NA
Pescado,ND,group,ND,NA,NA,NA,NA,NA,NA
Catan,ND,group,ND,NA,NA,NA,NA,NA,NA
Fajado,ND,group,ND,NA,NA,NA,NA,NA,NA
Peces de ornato,ND,group,ND,NA,NA,NA,NA,NA,NA
Pez payaso de ornato,ND,group,ND,NA,NA,NA,NA,NA,NA
Esponja,ND,group,ND,NA,NA,NA,NA,NA,NA
Otras especies de agua marina,ND,group,ND,NA,NA,NA,NA,NA,NA
Otras especies de agua dulce,ND,group,ND,NA,NA,NA,NA,NA,NA
Escochin,ND,group,ND,NA,NA,NA,NA,NA,NA
Tonzac,ND,group,ND,NA,NA,NA,NA,NA,NA
Gusano,ND,group,ND,NA,NA,NA,NA,NA,NA
Especie generica,ND,group,ND,NA,NA,NA,NA,NA,NA
Espadin,ND,group,ND,NA,NA,NA,NA,NA,NA
Pez peine,ND,group,ND,NA,NA,NA,NA,NA,NA
Punzon,ND,group,ND,NA,NA,NA,NA,NA,NA
Ripio,ND,group,ND,NA,NA,NA,NA,NA,NA
Bachis,ND,group,ND,NA,NA,NA,NA,NA,NA
Pompol,ND,group,ND,NA,NA,NA,NA,NA,NA
Pez leon,ND,group,ND,NA,NA,NA,NA,NA,NA
Arbolito,ND,group,ND,NA,NA,NA,NA,NA,NA
Puyon,ND,group,ND,NA,NA,NA,NA,NA,NA
Tule,ND,group,ND,NA,NA,NA,NA,NA,NA
Pescado blanco de agua dulce,ND,group,ND,NA,NA,NA,NA,NA,NA
Dorado de agua dulce,ND,group,ND,NA,NA,NA,NA,NA,NA
Abanderado,ND,group,ND,NA,NA,NA,NA,NA,NA
Rastreador,ND,group,ND,NA,NA,NA,NA,NA,NA
Lacha,ND,group,ND,NA,NA,NA,NA,NA,NA
Boquinegro,ND,group,ND,NA,NA,NA,NA,NA,NA
Matagatos,ND,group,ND,NA,NA,NA,NA,NA,NA
Abogado,ND,group,ND,NA,NA,NA,NA,NA,NA
Mataperro,ND,group,ND,NA,NA,NA,NA,NA,NA
Chacalcay,ND,group,ND,NA,NA,NA,NA,NA,NA
Pintontle,ND,group,ND,NA,NA,NA,NA,NA,NA
Camaron de profundidad,ND,group,ND,NA,NA,NA,NA,NA,NA
Topuche,ND,group,ND,NA,NA,NA,NA,NA,NA
Chomba,ND,group,ND,NA,NA,NA,NA,NA,NA
Dzonzin,ND,group,ND,NA,NA,NA,NA,NA,NA
Baina,ND,group,ND,NA,NA,NA,NA,NA,NA
Cuchilla,ND,group,ND,NA,NA,NA,NA,NA,NA
Cazon limon,Negaprion brevirostris,species,Negaprion brevirostris,Lemon shark,fish,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Negaprion
Tiburon amarillo,Negaprion brevirostris,species,Negaprion brevirostris,Lemon shark,fish,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Negaprion
Galano,Negaprion brevirostris,species,Negaprion brevirostris,Lemon shark,fish,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Negaprion
Tiburon limon,Negaprion brevirostris,species,Negaprion brevirostris,Lemon shark,fish,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Negaprion
Pez gallo,Nematistius pectoralis,species,Nematistius pectoralis,Roosterfish,fish,Actinopterygii,Perciformes,Nematistiidae,Nematistius
Peje pluma,Nematistius pectoralis,species,Nematistius pectoralis,Roosterfish,fish,Actinopterygii,Perciformes,Nematistiidae,Nematistius
Pulpo,Octopus sp,group,Octopus sp,NA,NA,NA,NA,NA,NA
Pulpo maya,Octopus sp,group,Octopus sp,NA,NA,NA,NA,NA,NA
Monda,Oligoplites altus,species,Oligoplites altus,Longjaw leatherjacket,fish,Actinopterygii,Perciformes,Carangidae,Oligoplites
Pina,Oligoplites sp,group,Oligoplites sp,NA,NA,NA,NA,NA,NA
Zapatero,Oligoplites sp,group,Oligoplites sp,NA,NA,NA,NA,NA,NA
Caracol olivo,Oliva sp,group,Oliva sp,NA,NA,NA,NA,NA,NA
Trucha arco iris,Oncorhynchus mykiss,species,Oncorhynchus mykiss,Rainbow trout,fish,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus
Trucha blanca,Oncorhynchus sp,group,Oncorhynchus sp,NA,NA,NA,NA,NA,NA
Trucha,Oncorhynchus sp,group,Oncorhynchus sp,NA,NA,NA,NA,NA,NA
Lairon,Ophichthus rex,group,Ophichthus rex,NA,NA,NA,NA,NA,NA
Sardina machete,Opisthonema medirastre,species,Opisthonema medirastre,Middling thread herring,fish,Actinopterygii,Clupeiformes,Clupeidae,Opisthonema
Sardina crinuda,Opisthonema sp,group,Opisthonema sp,NA,NA,NA,NA,NA,NA
Aguado,Opistognathus rhomaleus,species,Opistognathus rhomaleus,Giant jawfish,fish,Actinopterygii,Perciformes,Opistognathidae,Opistognathus
Tilapia,Oreochromis sp,group,Oreochromis sp,NA,NA,NA,NA,NA,NA
Corcovado,Orthopristis chalceus,species,Orthopristis chalceus,Brassy grunt,fish,Actinopterygii,Perciformes,Haemulidae,Orthopristis
Burrito,Orthopristis sp,group,Orthopristis sp,NA,NA,NA,NA,NA,NA
Ostion,Ostreidae,group,Ostreidae,NA,NA,NA,NA,NA,NA
Cangrejo ermitano,Pagurus sp,group,Pagurus sp,NA,NA,NA,NA,NA,NA
Almeja generosa,Panopea generosa,species,Panopea generosa,Pacific geoduck,invert,Bivalvia,Myoida,Hiatellidae,Panopea
Langosta verde,Panulirus gracilis,species,Panulirus gracilis,Green spiny lobster,invert,Malacostraca,Decapoda,Palinuridae,Panulirus
