"state","port_complex_orig","port_complex1","port_complex2","port_complex3","port_complex4","county","port","type","lat_dd","long_dd"
"California","Bodega Bay, San Francisco","Bodega Bay","San Francisco","40 - San Francisco","Marin","Marin","Point Reyes","individual",37.997,-123.02
"California","San Francisco","Bodega Bay","San Francisco","40 - San Francisco","Marin","Marin","Point Reyes/Drakes Bay","group",38.011944,-122.919167
"California","Sacramento Delta","Sacramento Delta","Sacramento Delta","30 - Sacramento Delta","Alameda, Contra Costa","Contra Costa","Port Chicago","individual",38.046111,-122.020833
"California","Sacramento Delta","Sacramento Delta","Sacramento Delta","30 - Sacramento Delta","Alameda, Contra Costa","Contra Costa","Port Costa","individual",38.046389,-122.183333
"California","Santa Barbara","Santa Barbara","Santa Barbara","60 - Santa Barbara","San Luis Obispo, Santa Barbara, Ventura","Ventura","Port Hueneme","individual",34.1477829,-119.1951074
"California","San Francisco","San Francisco","San Francisco","40 - San Francisco","San Francisco, San Mateo","San Mateo","Princeton","individual",37.5049409,-122.4869222
"California","San Francisco","San Francisco","San Francisco","40 - San Francisco","San Francisco, San Mateo","San Mateo","Princeton/Half Moon Bay","group",37.5049409,-122.4869222
"California","Los Angeles","Los Angeles","Los Angeles","70 - Los Angeles","Los Angeles","Los Angeles","Redondo Beach","individual",33.8491816,-118.3884078
"California","San Francisco","San Francisco","San Francisco","40 - San Francisco","San Francisco, San Mateo","San Mateo","Redwood City","individual",37.4847955,-122.228141
"California","San Francisco","San Francisco","San Francisco","40 - San Francisco","Alameda, Contra Costa","Contra Costa","Richmond","individual",37.9357576,-122.3477486
"California","Sacramento Delta","Sacramento Delta","Sacramento Delta","30 - Sacramento Delta","Solano, Yolo","Solano","Rio Vista","individual",38.1557502,-121.6913439
"California","San Francisco","San Francisco","San Francisco","40 - San Francisco","Alameda, Contra Costa","Contra Costa","Rodeo","individual",38.032977,-122.2669138
"California","Sacramento Delta","Sacramento Delta","Sacramento Delta","30 - Sacramento Delta","Sacramento, San Joaquin","Sacramento","Sacramento","individual",38.581667,-121.494444
"California","San Diego","San Diego","San Diego","San Diego","San Diego, Imperial","Imperial","Salton Sea","individual",33.313056,-115.834444
"California","Los Angeles","Los Angeles","Los Angeles","70 - Los Angeles","Los Angeles","Los Angeles","San Clemente Island","individual",32.9,-118.5
"California","San Diego","San Diego","San Diego","80 - San Diego","San Diego, Imperial","San Diego","San Diego","individual",32.715738,-117.1610838
"California","San Diego","San Diego","San Diego","80 - San Diego","San Diego, Imperial","San Diego","San Diego/Point Loma","group",32.732255,-117.20707
"California","San Francisco","San Francisco","San Francisco","40 - San Francisco","San Francisco, San Mateo","San Francisco","San Francisco","individual",37.7749295,-122.4194155
"California","Los Angeles","Los Angeles","Los Angeles","70 - Los Angeles","Orange","Orange","San Juan Capistrano","individual",33.499444,-117.661667
"California","San Francisco","San Francisco","San Francisco","40 - San Francisco","Alameda, Contra Costa","Alameda","San Leandro","individual",37.7257663,-122.1568554
"California","Santa Barbara","Morro Bay","Santa Barbara","60 - Santa Barbara","San Luis Obispo, Santa Barbara, Ventura","San Luis Obispo","San Luis Obispo","individual",35.274167,-120.663056
"California","Los Angeles","Los Angeles","Los Angeles","70 - Los Angeles","Los Angeles","Los Angeles","San Pedro","individual",33.7360619,-118.2922461
"California","San Francisco","San Francisco","San Francisco","40 - San Francisco","Marin","Marin","San Rafael","individual",37.9735346,-122.5310874
"California","Morro Bay, Santa Barbara","Morro Bay","Santa Barbara","60 - Santa Barbara","San Luis Obispo, Santa Barbara, Ventura","San Luis Obispo","San Simeon","individual",35.6440143,-121.1893211
"California","Santa Barbara","Santa Barbara","Santa Barbara","60 - Santa Barbara","San Luis Obispo, Santa Barbara, Ventura","Santa Barbara","Santa Barbara","individual",34.416667,-119.7
"California","Santa Barbara","Santa Barbara","Santa Barbara","60 - Santa Barbara","San Luis Obispo, Santa Barbara, Ventura","Santa Barbara","Santa Barbara Harbor","individual",34.4035586,-119.6936253
"California","Los Angeles","Los Angeles","Los Angeles","70 - Los Angeles","San Luis Obispo, Santa Barbara, Ventura","Santa Barbara","Santa Barbara Island","individual",33.476989,-119.037722
"California","Monterey","Monterey","Monterey","50 - Monterey","Santa Cruz","Santa Cruz","Santa Cruz","individual",36.9741171,-122.0307963
"California","Los Angeles","Los Angeles","Los Angeles","70 - Los Angeles","Los Angeles","Los Angeles","Santa Monica","individual",34.0194543,-118.4911912
"California","San Francisco","San Francisco","San Francisco","40 - San Francisco","Marin","Marin","Sausalito","individual",37.8590937,-122.4852507
"California","Los Angeles","Los Angeles","Los Angeles","70 - Los Angeles","Orange","Orange","Seal Beach","individual",33.7414085,-118.1047682
"California","Santa Barbara","Morro Bay","Santa Barbara","60 - Santa Barbara","San Luis Obispo, Santa Barbara, Ventura","San Luis Obispo","Shell Beach","individual",35.1729691072371,-120.701517421472
