"year","lat_dd","sst_c"
1926,33.5,16.786527633667
1927,10.5,27.3172920227051
1927,11.5,27.7904686927795
1927,12.5,28.1789203990589
1927,13.5,28.446857770284
1927,14.5,28.5396024530584
1927,15.5,28.5180207888285
1927,16.5,28.3227081298828
1927,17.5,27.8091068267822
1927,18.5,27.335083770752
1927,19.5,26.5783333778381
1927,20.5,26.2418236732483
1927,21.5,25.2577680860247
1927,22.5,23.9138658311632
1927,23.5,23.4960183037652
1927,24.5,22.2310717446463
1927,25.5,20.7850520610809
1927,26.5,19.9716096357866
1927,27.5,19.1823331832886
1927,28.5,18.3726877212524
1927,29.5,17.8684257931179
1927,30.5,17.6405356270926
1927,31.5,17.0603907108307
1927,32.5,16.2321523030599
1927,33.5,15.9323616027832
1928,10.5,27.4879577636719
1928,11.5,27.8862500190735
1928,12.5,28.2190338481556
1928,13.5,28.4854340553284
1928,14.5,28.625170621005
1928,15.5,28.6730556488037
1928,16.5,28.5757175021701
1928,17.5,28.124851499285
1928,18.5,27.6314582824707
1928,19.5,26.8195309638977
1928,20.5,26.4012503623962
1928,21.5,25.3459818703788
1928,22.5,23.9881248474121
1928,23.5,23.5411800808377
1928,24.5,22.2840178353446
1928,25.5,20.8297135829926
1928,26.5,19.9435227134011
1928,27.5,19.0933334350586
1928,28.5,18.2676250457764
1928,29.5,17.772013982137
1928,30.5,17.539463860648
1928,31.5,16.9915101528168
1928,32.5,16.1688890457153
1928,33.5,15.8737497329712
1929,10.5,27.3870414733887
1929,11.5,27.8028647899628
1929,12.5,28.140719500455
1929,13.5,28.3473264376322
1929,14.5,28.3846589868719
1929,15.5,28.3471527099609
1929,16.5,28.1414118872748
1929,17.5,27.6132139478411
1929,18.5,27.1249164581299
1929,19.5,26.3256249427795
1929,20.5,25.9539065361023
1929,21.5,24.925208227975
1929,22.5,23.5730094909668
1929,23.5,23.1943751441108
1929,24.5,21.9794643947056
1929,25.5,20.5995829105377
1929,26.5,19.817140232433
1929,27.5,19.0767501831055
1929,28.5,18.3333332061768
1929,29.5,17.8578243255615
1929,30.5,17.6662199837821
1929,31.5,17.1127862930298
1929,32.5,16.2925001780192
1929,33.5,15.991597811381
1930,10.5,27.8563751220703
1930,11.5,28.2050518989563
1930,12.5,28.4430684176358
1930,13.5,28.6155034701029
1930,14.5,28.6747159090909
1930,15.5,28.6980559031169
1930,16.5,28.5947452121311
1930,17.5,28.166964667184
1930,18.5,27.7288333892822
1930,19.5,26.9913024902344
1930,20.5,26.636146068573
1930,21.5,25.6772618974958
1930,22.5,24.3503704071045
1930,23.5,23.9500923156738
1930,24.5,22.7175295693534
1930,25.5,21.2967448234558
1930,26.5,20.5070268457586
1930,27.5,19.7489789962769
1930,28.5,18.9758335113525
1930,29.5,18.4834493001302
1930,30.5,18.2664879390172
1930,31.5,17.6429426670074
1930,32.5,16.8144442240397
1930,33.5,16.5015970865885
1931,10.5,27.833500289917
1931,11.5,28.201432466507
1931,12.5,28.4026893268932
1931,13.5,28.5304341316223
1931,14.5,28.5569886294278
1931,15.5,28.5299477577209
1931,16.5,28.3580093383789
1931,17.5,27.859226499285
1931,18.5,27.4099166870117
1931,19.5,26.6914587020874
1931,20.5,26.391562461853
1931,21.5,25.5275892530169
1931,22.5,24.3439581129286
1931,23.5,24.0634259117974
1931,24.5,22.9671426500593
1931,25.5,21.6421611309052
1931,26.5,20.8969509818337
1931,27.5,20.2135417938232
1931,28.5,19.4865211486816
1931,29.5,19.0510188208686
1931,30.5,18.9150597708566
1931,31.5,18.2441928386688
1931,32.5,17.4577083587646
1931,33.5,17.0612500508626
1932,10.5,27.7033752441406
